indice;ColourWeb_hexa
1;#ffbe00
10;#c9910d
11;#704b1c
12;#007852
13;#6ec4e8
14;#62259d
2;#0055c8
3;#6e6e00
3bis;#6ec4e8
4;#a0006e
5;#ff7e2e
6;#6eca97
7;#f49fb3
7bis;#6eca97
8;#d282be
9;#b6bd00
A;#eb2132
B;#5091cb
C;#ffcc30
CDG;#5cc5ed
D;#008b5b
E;#b94e9a
FUN;#afafaf
GL;#aaaaaa
H;#84653d
J;#cec73d
K;#9b9842
L;#c4a4cc
N;#00b297
ORL;#5ec5ed
P;#f58f53
R;#f49fb3
T1;#003ca6
T10;#6e6e00
T11;#f58f53
T12;#a50034
T13;#8d653d
T14;#00a092
T2;#cf009e
T3A;#ff7e2e
T3B;#00ae41
T4;#dfaf47
T5;#62259d
T6;#e2231a
T7;#704b1c
T8;#837902
T9;#5091cb
TER;#aaaaaa
U;#b6134c
V;#9f9825
