Geo Point;Geo Shape;gares_id;nom_long;nom_so_gar;res_com;indice_lig;mode;exploitant;idf;x;y;picto ligne
48.96375542962029, 2.3721031384025686;"{""coordinates"":[2.372103138402569,48.96375542962029],""type"":""Point""}";643;Pierrefitte Stains;;RER D;D;RER;SNCF;1;654024,0938;6873938,818;https://data.iledefrance-mobilites.fr/api/datasets/1.0/emplacement-des-gares-idf/images/e7ed6bbd66f9796902fee75b4b443a54
48.97066504832262, 2.0777317645655984;"{""coordinates"":[2.077731764565598,48.97066504832262],""type"":""Point""}";6;Acheres-Ville;;RER A;A;RER;SNCF;1;632479,4115;6874918,733;https://data.iledefrance-mobilites.fr/api/datasets/1.0/emplacement-des-gares-idf/images/2922fd9716bdb3b0487b2960b932652a
48.71262898747626, 2.4036331049084922;"{""coordinates"":[2.403633104908492,48.71262898747626],""type"":""Point""}";31;Athis-Mons;;RER C;C;RER;SNCF;1;656121,8463;6845998,147;https://data.iledefrance-mobilites.fr/api/datasets/1.0/emplacement-des-gares-idf/images/591a3d854462a7db2751395e662d4e2c
49.023206378062014, 2.362222981011115;"{""coordinates"":[2.362222981011115,49.023206378062014],""type"":""Point""}";249;Ecouen-Ezanville;;TRAIN H;H;TRAIN;SNCF;1;653354,064;6880555,884;https://data.iledefrance-mobilites.fr/api/datasets/1.0/emplacement-des-gares-idf/images/3544694520ec675b39cbddf7993a4b79
48.972749119759264, 2.307137032071533;"{""coordinates"":[2.307137032071533,48.972749119759264],""type"":""Point""}";256;Enghien-Les-Bains;;TRAIN H;H;TRAIN;SNCF;1;649276,0334;6874978,719;https://data.iledefrance-mobilites.fr/api/datasets/1.0/emplacement-des-gares-idf/images/3544694520ec675b39cbddf7993a4b79
48.371383292302916, 2.387209797198101;"{""coordinates"":[2.387209797198101,48.371383292302916],""type"":""Point""}";117;Buno-Gironville;;RER D;D;RER;SNCF;1;654619,1223;6808073,817;https://data.iledefrance-mobilites.fr/api/datasets/1.0/emplacement-des-gares-idf/images/e7ed6bbd66f9796902fee75b4b443a54
49.162670580775035, 1.9369286357858264;"{""coordinates"":[1.936928635785826,49.162670580775035],""type"":""Point""}";157;Chars;;TRAIN J;J;TRAIN;SNCF;1;622459,0764;6896400,646;https://data.iledefrance-mobilites.fr/api/datasets/1.0/emplacement-des-gares-idf/images/eb304b4c7df86e2202acf8e0ac539751
48.86182227279812, 2.3470126872387564;"{""coordinates"":[2.347012687238756,48.86182227279812],""type"":""Point""}";170;Chatelet-Les Halles;;RER D;D;RER;RATP;1;652093,2251;6862619,067;https://data.iledefrance-mobilites.fr/api/datasets/1.0/emplacement-des-gares-idf/images/e7ed6bbd66f9796902fee75b4b443a54
48.613427913594734, 2.4729336504587436;"{""coordinates"":[2.472933650458744,48.613427913594734],""type"":""Point""}";207;Corbeil-Essonnes;;RER D;D;RER;SNCF;1;661146,991;6834933,312;https://data.iledefrance-mobilites.fr/api/datasets/1.0/emplacement-des-gares-idf/images/e7ed6bbd66f9796902fee75b4b443a54
48.932896166448664, 2.307943234074898;"{""coordinates"":[2.307943234074898,48.932896166448664],""type"":""Point""}";326;Gennevilliers;;RER C;C;RER;SNCF;1;649296,2115;6870546,531;https://data.iledefrance-mobilites.fr/api/datasets/1.0/emplacement-des-gares-idf/images/591a3d854462a7db2751395e662d4e2c
49.02316199903104, 2.4621689661352346;"{""coordinates"":[2.462168966135235,49.02316199903104],""type"":""Point""}";333;Goussainville;;RER D;D;RER;SNCF;1;660663,7877;6880496,533;https://data.iledefrance-mobilites.fr/api/datasets/1.0/emplacement-des-gares-idf/images/e7ed6bbd66f9796902fee75b4b443a54
